rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
93,93,Gen-A,Loc-K,83.75,2017,-0.646215624
94,94,Gen-A,Loc-K,74.98,2042,-0.646215765
95,95,Gen-A,Loc-K,67.93,2062,-0.646215836
96,96,Gen-A,Loc-K,67.36,2085,-0.646215871
97,97,Gen-A,Loc-K,64.6,2109.5,-0.646215888
98,98,Gen-A,Loc-K,69.67,2136,-0.646215897
99,99,Gen-A,Loc-K,81.26,2163,-0.646215902
100,100,Gen-A,Loc-K,81.4,2191.5,-0.646215904
101,1,Gen-B,Loc-K,52.82,8.5,-0.639680647
102,2,Gen-B,Loc-K,60.94,22,-0.636404637
103,3,Gen-B,Loc-K,81.27,38.5,-0.632889194
104,4,Gen-B,Loc-K,65.71,58,-0.629116817
105,5,Gen-B,Loc-K,62.41,75.5,-0.625068729
106,6,Gen-B,Loc-K,47.66,91,-0.620724778
107,7,Gen-B,Loc-K,47.93,104,-0.616063342
108,8,Gen-B,Loc-K,49.38,122,-0.611061216
109,9,Gen-B,Loc-K,67.23,133,-0.6056935
110,10,Gen-B,Loc-K,83.94,145.5,-0.599933474
111,11,Gen-B,Loc-K,64.41,161,-0.593752466
112,12,Gen-B,Loc-K,52.71,164.5,-0.587119706
113,13,Gen-B,Loc-K,52.64,170,-0.580002179
114,14,Gen-B,Loc-K,66.06,173.5,-0.572364453
115,15,Gen-B,Loc-K,65.08,177.5,-0.56416851
116,16,Gen-B,Loc-K,56,185,-0.555373551
117,17,Gen-B,Loc-K,83.16,192,-0.545935795
118,18,Gen-B,Loc-K,64.87,203.5,-0.535808263
119,19,Gen-B,Loc-K,71.21,226,-0.524940541
120,20,Gen-B,Loc-K,52.67,248,-0.51327853
121,21,Gen-B,Loc-K,56.57,269.5,-0.500764179
122,22,Gen-B,Loc-K,74.88,291,-0.487335193
123,23,Gen-B,Loc-K,76.57,313,-0.472924723
124,24,Gen-B,Loc-K,69.32,331,-0.457461037
125,25,Gen-B,Loc-K,67.65,344.5,-0.440867158
126,26,Gen-B,Loc-K,62.15,362,-0.423060482
127,27,Gen-B,Loc-K,72.08,380,-0.403952373
128,28,Gen-B,Loc-K,78.11,401,-0.38344771
129,29,Gen-B,Loc-K,82.57,415,-0.361444425
130,30,Gen-B,Loc-K,61.87,427.5,-0.337832988
131,31,Gen-B,Loc-K,59.91,446,-0.312495863
132,32,Gen-B,Loc-K,60.32,465.5,-0.285306927
133,33,Gen-B,Loc-K,58.08,482,-0.256130835
134,34,Gen-B,Loc-K,64.29,502.5,-0.224822352
135,35,Gen-B,Loc-K,66.93,523.5,-0.191225629
136,36,Gen-B,Loc-K,71.17,547.5,-0.155173425
137,37,Gen-B,Loc-K,71.63,573,-0.116486277
138,38,Gen-B,Loc-K,69.71,599,-0.074971604
139,39,Gen-B,Loc-K,64.81,626,-0.030422752
140,40,Gen-B,Loc-K,58.3,650,0.017382038
141,41,Gen-B,Loc-K,56.86,673.5,0.068680733
142,42,Gen-B,Loc-K,70.81,697,0.123728691
143,43,Gen-B,Loc-K,55.14,722,0.182799934
144,44,Gen-B,Loc-K,43.67,747.5,0.246188512
145,45,Gen-B,Loc-K,54.76,774.5,0.314209966
146,46,Gen-B,Loc-K,73.05,799,0.387202896
147,47,Gen-B,Loc-K,63.78,823.5,0.465530651
148,48,Gen-B,Loc-K,77.98,850,0.549583132
149,49,Gen-B,Loc-K,66.61,876.5,0.639778727
150,50,Gen-B,Loc-K,75.09,905,0.736566379
151,51,Gen-B,Loc-K,77.35,934.5,0.840427779
152,52,Gen-B,Loc-K,84.96,960,0.95187965
153,53,Gen-B,Loc-K,78.4,986.5,1.071476011
154,54,Gen-B,Loc-K,65.5,1013,1.199810117
155,55,Gen-B,Loc-K,58.55,1038.5,1.337515191
156,56,Gen-B,Loc-K,54.75,1061.5,1.485261601
157,57,Gen-B,Loc-K,62.45,1084.5,1.643744124
158,58,Gen-B,Loc-K,64.86,1109.5,1.813642102
159,59,Gen-B,Loc-K,60.19,1134.5,1.995506347
160,60,Gen-B,Loc-K,56.19,1155.5,2.189449103
161,61,Gen-B,Loc-K,53.06,1181,2.394308402
162,62,Gen-B,Loc-K,62.67,1204.5,2.605432131
163,63,Gen-B,Loc-K,80.82,1231,2.808979912
164,64,Gen-B,Loc-K,82.46,1258.5,2.968342629
165,65,Gen-B,Loc-K,83.89,1285,2.997958849
166,66,Gen-B,Loc-K,82.38,1312,2.742386554
167,67,Gen-B,Loc-K,84.47,1338,2.062650442
168,68,Gen-B,Loc-K,88.55,1365.5,1.0980705
169,69,Gen-B,Loc-K,83.21,1395,0.254288936
170,70,Gen-B,Loc-K,82.53,1423,-0.256402915
171,71,Gen-B,Loc-K,71.83,1447.5,-0.503596843
172,72,Gen-B,Loc-K,59.09,1472,-0.610649327
173,73,Gen-B,Loc-K,57.55,1496.5,-0.654787797
174,74,Gen-B,Loc-K,70.89,1518,-0.672617947
175,75,Gen-B,Loc-K,84.34,1545,-0.679761091
176,76,Gen-B,Loc-K,73.52,1572,-0.682613277
177,77,Gen-B,Loc-K,67.48,1597.5,-0.683750612
178,78,Gen-B,Loc-K,72.38,1625,-0.684203894
179,79,Gen-B,Loc-K,83.66,1653,-0.684384511
180,80,Gen-B,Loc-K,67.09,1680,-0.684456474
181,81,Gen-B,Loc-K,84.78,1708,-0.684485148
182,82,Gen-B,Loc-K,72.46,1736,-0.684496568
183,83,Gen-B,Loc-K,69.6,1761.5,-0.684501118
184,84,Gen-B,Loc-K,62.08,1786,-0.684502931
185,85,Gen-B,Loc-K,69.1,1813,-0.684503654
186,86,Gen-B,Loc-K,61.17,1838,-0.684503942
187,87,Gen-B,Loc-K,58.65,1862,-0.684504057
188,88,Gen-B,Loc-K,62.14,1885.5,-0.684504102
189,89,Gen-B,Loc-K,60.59,1910.5,-0.684504121
190,90,Gen-B,Loc-K,65.34,1937,-0.684504128
191,91,Gen-B,Loc-K,71.47,1965,-0.684504131
192,92,Gen-B,Loc-K,86.66,1990,-0.684504132
193,93,Gen-B,Loc-K,83.75,2017,-0.684504132
194,94,Gen-B,Loc-K,74.98,2042,-0.684504132
195,95,Gen-B,Loc-K,67.93,2062,-0.684504133
196,96,Gen-B,Loc-K,67.36,2085,-0.684504133
197,97,Gen-B,Loc-K,64.6,2109.5,-0.684504133
198,98,Gen-B,Loc-K,69.67,2136,-0.684504133
199,99,Gen-B,Loc-K,81.26,2163,-0.684504133
